ID,Title,Firstname,Lastname,DateOfBirth,JoinDate,EmailAddress,EmailOptIn,Mobile,Locale,MobileOptIn,StreetAddress1,StreetAddress2,City,State,Postcode,Country,LatestStoreID,LTV
e82d582a-e754-4e15-b650-b11d70be7b84,Mr,Quinten,Corrine,1977-04-12,2021-06-30,SFMCTrainingSample1@email.com,1,,,,1174 Pretium Rd.,,Melbourne,VIC,3000,Australia,,
a59e0d0d-a105-4678-becc-16513da95a2f,Ms,Deana,Sindy,1995-10-27,2021-07-19,SFMCTrainingSample2@email.com,1,,,,594 Quis Street,,Sydney,NSW,2000,Australia,,
e5993da9-eb34-425a-926c-83627c7c814c,,Misti,Garnet,2008-04-30,2021-04-09,SFMCTrainingSample3@email.com,0,,,,1678 Augue Av.,,Brisbane,QLD,4000,Australia,,
6a1f2ba3-6ee8-4b73-98e7-0daf269bf6c4,Mr,Kolton,Stewart,1973-03-03,2021-04-19,SFMCTrainingSample4@email.com,1,,,,635 NibhRoad,,Melbourne,VIC,3000,Australia,,
2117c5a9-1664-4091-ad60-e710a59191e7,Mrs,Katelin,Harding,1988-01-25,2021-02-03,SFMCTrainingSample5@email.com,1,,,,324 Ultrices Street,,Melbourne,VIC,3000,Australia,,
2761df6d-caf8-43e1-a899-4c264be8d034,Mr,Kester,Orpha,2001-10-10,2021-03-07,SFMCTrainingSample6@email.com,1,,,,2322 Nunc St.,,Sydney,NSW,2000,Australia,,
3383e556-2a37-418f-8887-4bfd0bd430ea,Mr,Wren,Berry,1988-05-23,2021-04-29,SFMCTrainingSample7@email.com,0,,,,4254 Vel St.,,Melbourne,VIC,3000,Australia,,
66d60142-f178-4450-87d7-5cb1c81d38cf,Mrs,Judie,Karlee,2001-08-17,2021-01-28,SFMCTrainingSample8@email.com,1,,,,5703 Nunc St.,,Brisbane,QLD,4000,Australia,,
29a5f35a-0800-464a-b3f6-d43bb5894c7e,Mr,Bud,Tori,1990-09-01,2021-06-14,SFMCTrainingSample9@email.com,0,,,,6609 Neque St.,,Brisbane,QLD,4000,Australia,,
b7d7b1f9-66ec-4da0-bc61-c21f6dff2e55,Mr,Seymour,Drea,1993-12-13,2021-02-11,SFMCTrainingSample10@email.com,1,,,,6376 Eget Avenue,,Sydney,NSW,2000,Australia,,
17738f1d-106b-4934-b4c6-63db8420fab8,Mr,Lesley,Raquel,1961-11-26,2021-06-13,SFMCTrainingSample11@email.com,1,,,,6878 Nullam Road,,Brisbane,QLD,4000,Australia,,
2b93ea70-1937-48f9-9494-07371df4bdc4,Ms,Belle,Oaklynn,1968-12-24,2021-07-17,SFMCTrainingSample12@email.com,1,,,,8673 Nec Av.,,Melbourne,VIC,3000,Australia,,
533c189c-a7d8-4f40-8068-0c52f410f2dc,,Jacinda,Norwood,1986-04-18,2021-03-09,SFMCTrainingSample13@email.com,1,,,,305Vivamus Rd.,,Sydney,NSW,2000,Australia,,
d57dfeb4-639c-40c2-81aa-733adaf2fee0,Ms,Princess,Alan,2000-10-20,2021-05-07,SFMCTrainingSample14@email.com,1,,,,7998 Vitae Rd.,,Sydney,NSW,2000,Australia,,
bc61eb58-3cd1-4d4a-b2f7-5e01b49e2ea7,Mr,Jack,Adamina,1992-10-15,2021-01-18,SFMCTrainingSample15@email.com,1,,,,2799 Nunc Rd.,,Sydney,NSW,2000,Australia,,
13a7e9fa-27db-40f7-baaa-b560660faccb,Mr,Comfort,Coreen,1979-07-11,2021-03-05,SFMCTrainingSample16@email.com,1,,,,7916 Ligula St,,Melbourne,VIC,3000,Australia,,
565f9dac-0779-488d-bffe-e9988799149c,,Nettie,Ebba,2003-07-03,2021-04-13,SFMCTrainingSample17@email.com,1,,,,2284 Id Avenue,,Sydney,NSW,2000,Australia,,
89cd52a7-3a36-484d-8ad5-f81f1a190c22,Mr,John,Berry,1991-02-28,2021-02-17,SFMCTrainingSample18@email.com,1,,,,734 Nibh St,,Brisbane,QLD,4000,Australia,,
3f46a1e3-60c8-4140-874f-767f3098aa4e,Ms,Marlene,Elias,1977-03-23,2021-04-06,SFMCTrainingSample19@email.com,1,,,,284Quam. St.,,Brisbane,QLD,4000,Australia,,
52cad23f-8547-49fb-b3e1-85b1ae8c2902,Mr,Axl,Tia,1983-08-30,2021-05-11,SFMCTrainingSample20@email.com,1,,,,340 Ute Street,,Brisbane,QLD,4000,Australia,,
